project_county_name,project_state,total_loans,kabbage_loans,percent_kabbage_loans,state,state_code,state_name,county_code,county,fips_code
ABBEVILLE,SC,324,8,2.4691358024691357,SC,45,South Carolina,001,Abbeville County,45001
ACADIA,LA,1306,8,0.6125574272588056,LA,22,Louisiana,001,Acadia Parish,22001
ACCOMACK,VA,462,1,0.21645021645021645,VA,51,Virginia,001,Accomack County,51001
ADA,ID,11258,51,0.45301119204121515,ID,16,Idaho,001,Ada County,16001
ADAIR,IA,612,NA,NA,IA,19,Iowa,001,Adair County,19001
ADAIR,IA,612,NA,NA,KY,21,Kentucky,001,Adair County,21001
ADAIR,IA,612,NA,NA,MO,29,Missouri,001,Adair County,29001
ADAIR,IA,612,NA,NA,OK,40,Oklahoma,001,Adair County,40001
ADAIR,KY,962,2,0.2079002079002079,IA,19,Iowa,001,Adair County,19001
ADAIR,KY,962,2,0.2079002079002079,KY,21,Kentucky,001,Adair County,21001
ADAIR,KY,962,2,0.2079002079002079,MO,29,Missouri,001,Adair County,29001
ADAIR,KY,962,2,0.2079002079002079,OK,40,Oklahoma,001,Adair County,40001
ADAIR,MO,792,NA,NA,IA,19,Iowa,001,Adair County,19001
ADAIR,MO,792,NA,NA,KY,21,Kentucky,001,Adair County,21001
ADAIR,MO,792,NA,NA,MO,29,Missouri,001,Adair County,29001
ADAIR,MO,792,NA,NA,OK,40,Oklahoma,001,Adair County,40001
ADAIR,OK,890,NA,NA,IA,19,Iowa,001,Adair County,19001
ADAIR,OK,890,NA,NA,KY,21,Kentucky,001,Adair County,21001
ADAIR,OK,890,NA,NA,MO,29,Missouri,001,Adair County,29001
ADAIR,OK,890,NA,NA,OK,40,Oklahoma,001,Adair County,40001
ADAMS,CO,7481,146,1.9516107472263067,CO,08,Colorado,001,Adams County,08001
ADAMS,CO,7481,146,1.9516107472263067,ID,16,Idaho,003,Adams County,16003
ADAMS,CO,7481,146,1.9516107472263067,IL,17,Illinois,001,Adams County,17001
ADAMS,CO,7481,146,1.9516107472263067,IN,18,Indiana,001,Adams County,18001
ADAMS,CO,7481,146,1.9516107472263067,IA,19,Iowa,003,Adams County,19003
ADAMS,CO,7481,146,1.9516107472263067,MS,28,Mississippi,001,Adams County,28001
ADAMS,CO,7481,146,1.9516107472263067,NE,31,Nebraska,001,Adams County,31001
ADAMS,CO,7481,146,1.9516107472263067,ND,38,North Dakota,001,Adams County,38001
ADAMS,CO,7481,146,1.9516107472263067,OH,39,Ohio,001,Adams County,39001
ADAMS,CO,7481,146,1.9516107472263067,PA,42,Pennsylvania,001,Adams County,42001
ADAMS,CO,7481,146,1.9516107472263067,WA,53,Washington,001,Adams County,53001
ADAMS,CO,7481,146,1.9516107472263067,WI,55,Wisconsin,001,Adams County,55001
ADAMS,IA,288,NA,NA,CO,08,Colorado,001,Adams County,08001
ADAMS,IA,288,NA,NA,ID,16,Idaho,003,Adams County,16003
ADAMS,IA,288,NA,NA,IL,17,Illinois,001,Adams County,17001
ADAMS,IA,288,NA,NA,IN,18,Indiana,001,Adams County,18001
ADAMS,IA,288,NA,NA,IA,19,Iowa,003,Adams County,19003
ADAMS,IA,288,NA,NA,MS,28,Mississippi,001,Adams County,28001
ADAMS,IA,288,NA,NA,NE,31,Nebraska,001,Adams County,31001
ADAMS,IA,288,NA,NA,ND,38,North Dakota,001,Adams County,38001
ADAMS,IA,288,NA,NA,OH,39,Ohio,001,Adams County,39001
ADAMS,IA,288,NA,NA,PA,42,Pennsylvania,001,Adams County,42001
ADAMS,IA,288,NA,NA,WA,53,Washington,001,Adams County,53001
ADAMS,IA,288,NA,NA,WI,55,Wisconsin,001,Adams County,55001
ADAMS,ID,69,NA,NA,CO,08,Colorado,001,Adams County,08001
ADAMS,ID,69,NA,NA,ID,16,Idaho,003,Adams County,16003
ADAMS,ID,69,NA,NA,IL,17,Illinois,001,Adams County,17001
ADAMS,ID,69,NA,NA,IN,18,Indiana,001,Adams County,18001
ADAMS,ID,69,NA,NA,IA,19,Iowa,003,Adams County,19003
ADAMS,ID,69,NA,NA,MS,28,Mississippi,001,Adams County,28001
ADAMS,ID,69,NA,NA,NE,31,Nebraska,001,Adams County,31001
ADAMS,ID,69,NA,NA,ND,38,North Dakota,001,Adams County,38001
ADAMS,ID,69,NA,NA,OH,39,Ohio,001,Adams County,39001
ADAMS,ID,69,NA,NA,PA,42,Pennsylvania,001,Adams County,42001
ADAMS,ID,69,NA,NA,WA,53,Washington,001,Adams County,53001
ADAMS,ID,69,NA,NA,WI,55,Wisconsin,001,Adams County,55001
ADAMS,IL,2240,7,0.3125,CO,08,Colorado,001,Adams County,08001
ADAMS,IL,2240,7,0.3125,ID,16,Idaho,003,Adams County,16003
ADAMS,IL,2240,7,0.3125,IL,17,Illinois,001,Adams County,17001
ADAMS,IL,2240,7,0.3125,IN,18,Indiana,001,Adams County,18001
ADAMS,IL,2240,7,0.3125,IA,19,Iowa,003,Adams County,19003
ADAMS,IL,2240,7,0.3125,MS,28,Mississippi,001,Adams County,28001
ADAMS,IL,2240,7,0.3125,NE,31,Nebraska,001,Adams County,31001
ADAMS,IL,2240,7,0.3125,ND,38,North Dakota,001,Adams County,38001
ADAMS,IL,2240,7,0.3125,OH,39,Ohio,001,Adams County,39001
ADAMS,IL,2240,7,0.3125,PA,42,Pennsylvania,001,Adams County,42001
ADAMS,IL,2240,7,0.3125,WA,53,Washington,001,Adams County,53001
ADAMS,IL,2240,7,0.3125,WI,55,Wisconsin,001,Adams County,55001
ADAMS,IN,563,2,0.3552397868561279,CO,08,Colorado,001,Adams County,08001
ADAMS,IN,563,2,0.3552397868561279,ID,16,Idaho,003,Adams County,16003
ADAMS,IN,563,2,0.3552397868561279,IL,17,Illinois,001,Adams County,17001
ADAMS,IN,563,2,0.3552397868561279,IN,18,Indiana,001,Adams County,18001
ADAMS,IN,563,2,0.3552397868561279,IA,19,Iowa,003,Adams County,19003
ADAMS,IN,563,2,0.3552397868561279,MS,28,Mississippi,001,Adams County,28001
ADAMS,IN,563,2,0.3552397868561279,NE,31,Nebraska,001,Adams County,31001
ADAMS,IN,563,2,0.3552397868561279,ND,38,North Dakota,001,Adams County,38001
ADAMS,IN,563,2,0.3552397868561279,OH,39,Ohio,001,Adams County,39001
ADAMS,IN,563,2,0.3552397868561279,PA,42,Pennsylvania,001,Adams County,42001
ADAMS,IN,563,2,0.3552397868561279,WA,53,Washington,001,Adams County,53001
ADAMS,IN,563,2,0.3552397868561279,WI,55,Wisconsin,001,Adams County,55001
ADAMS,MS,1096,25,2.281021897810219,CO,08,Colorado,001,Adams County,08001
ADAMS,MS,1096,25,2.281021897810219,ID,16,Idaho,003,Adams County,16003
ADAMS,MS,1096,25,2.281021897810219,IL,17,Illinois,001,Adams County,17001
ADAMS,MS,1096,25,2.281021897810219,IN,18,Indiana,001,Adams County,18001
ADAMS,MS,1096,25,2.281021897810219,IA,19,Iowa,003,Adams County,19003
ADAMS,MS,1096,25,2.281021897810219,MS,28,Mississippi,001,Adams County,28001
ADAMS,MS,1096,25,2.281021897810219,NE,31,Nebraska,001,Adams County,31001
ADAMS,MS,1096,25,2.281021897810219,ND,38,North Dakota,001,Adams County,38001
ADAMS,MS,1096,25,2.281021897810219,OH,39,Ohio,001,Adams County,39001
ADAMS,MS,1096,25,2.281021897810219,PA,42,Pennsylvania,001,Adams County,42001
ADAMS,MS,1096,25,2.281021897810219,WA,53,Washington,001,Adams County,53001
ADAMS,MS,1096,25,2.281021897810219,WI,55,Wisconsin,001,Adams County,55001
ADAMS,ND,213,NA,NA,CO,08,Colorado,001,Adams County,08001
ADAMS,ND,213,NA,NA,ID,16,Idaho,003,Adams County,16003
ADAMS,ND,213,NA,NA,IL,17,Illinois,001,Adams County,17001
ADAMS,ND,213,NA,NA,IN,18,Indiana,001,Adams County,18001
ADAMS,ND,213,NA,NA,IA,19,Iowa,003,Adams County,19003
ADAMS,ND,213,NA,NA,MS,28,Mississippi,001,Adams County,28001
ADAMS,ND,213,NA,NA,NE,31,Nebraska,001,Adams County,31001
ADAMS,ND,213,NA,NA,ND,38,North Dakota,001,Adams County,38001
ADAMS,ND,213,NA,NA,OH,39,Ohio,001,Adams County,39001
ADAMS,ND,213,NA,NA,PA,42,Pennsylvania,001,Adams County,42001
ADAMS,ND,213,NA,NA,WA,53,Washington,001,Adams County,53001
ADAMS,ND,213,NA,NA,WI,55,Wisconsin,001,Adams County,55001
ADAMS,NE,1254,NA,NA,CO,08,Colorado,001,Adams County,08001
ADAMS,NE,1254,NA,NA,ID,16,Idaho,003,Adams County,16003
ADAMS,NE,1254,NA,NA,IL,17,Illinois,001,Adams County,17001
ADAMS,NE,1254,NA,NA,IN,18,Indiana,001,Adams County,18001
ADAMS,NE,1254,NA,NA,IA,19,Iowa,003,Adams County,19003
ADAMS,NE,1254,NA,NA,MS,28,Mississippi,001,Adams County,28001
ADAMS,NE,1254,NA,NA,NE,31,Nebraska,001,Adams County,31001
ADAMS,NE,1254,NA,NA,ND,38,North Dakota,001,Adams County,38001
ADAMS,NE,1254,NA,NA,OH,39,Ohio,001,Adams County,39001
ADAMS,NE,1254,NA,NA,PA,42,Pennsylvania,001,Adams County,42001
ADAMS,NE,1254,NA,NA,WA,53,Washington,001,Adams County,53001
ADAMS,NE,1254,NA,NA,WI,55,Wisconsin,001,Adams County,55001
ADAMS,OH,432,4,0.9259259259259258,CO,08,Colorado,001,Adams County,08001
ADAMS,OH,432,4,0.9259259259259258,ID,16,Idaho,003,Adams County,16003
ADAMS,OH,432,4,0.9259259259259258,IL,17,Illinois,001,Adams County,17001
ADAMS,OH,432,4,0.9259259259259258,IN,18,Indiana,001,Adams County,18001
ADAMS,OH,432,4,0.9259259259259258,IA,19,Iowa,003,Adams County,19003
ADAMS,OH,432,4,0.9259259259259258,MS,28,Mississippi,001,Adams County,28001
ADAMS,OH,432,4,0.9259259259259258,NE,31,Nebraska,001,Adams County,31001
ADAMS,OH,432,4,0.9259259259259258,ND,38,North Dakota,001,Adams County,38001
ADAMS,OH,432,4,0.9259259259259258,OH,39,Ohio,001,Adams County,39001
ADAMS,OH,432,4,0.9259259259259258,PA,42,Pennsylvania,001,Adams County,42001
ADAMS,OH,432,4,0.9259259259259258,WA,53,Washington,001,Adams County,53001
ADAMS,OH,432,4,0.9259259259259258,WI,55,Wisconsin,001,Adams County,55001
ADAMS,PA,1313,5,0.38080731150038083,CO,08,Colorado,001,Adams County,08001
ADAMS,PA,1313,5,0.38080731150038083,ID,16,Idaho,003,Adams County,16003
ADAMS,PA,1313,5,0.38080731150038083,IL,17,Illinois,001,Adams County,17001
ADAMS,PA,1313,5,0.38080731150038083,IN,18,Indiana,001,Adams County,18001
ADAMS,PA,1313,5,0.38080731150038083,IA,19,Iowa,003,Adams County,19003
ADAMS,PA,1313,5,0.38080731150038083,MS,28,Mississippi,001,Adams County,28001
ADAMS,PA,1313,5,0.38080731150038083,NE,31,Nebraska,001,Adams County,31001
ADAMS,PA,1313,5,0.38080731150038083,ND,38,North Dakota,001,Adams County,38001
ADAMS,PA,1313,5,0.38080731150038083,OH,39,Ohio,001,Adams County,39001
ADAMS,PA,1313,5,0.38080731150038083,PA,42,Pennsylvania,001,Adams County,42001
ADAMS,PA,1313,5,0.38080731150038083,WA,53,Washington,001,Adams County,53001
ADAMS,PA,1313,5,0.38080731150038083,WI,55,Wisconsin,001,Adams County,55001
ADAMS,WA,313,1,0.3194888178913738,CO,08,Colorado,001,Adams County,08001
ADAMS,WA,313,1,0.3194888178913738,ID,16,Idaho,003,Adams County,16003
ADAMS,WA,313,1,0.3194888178913738,IL,17,Illinois,001,Adams County,17001
ADAMS,WA,313,1,0.3194888178913738,IN,18,Indiana,001,Adams County,18001
ADAMS,WA,313,1,0.3194888178913738,IA,19,Iowa,003,Adams County,19003
ADAMS,WA,313,1,0.3194888178913738,MS,28,Mississippi,001,Adams County,28001
ADAMS,WA,313,1,0.3194888178913738,NE,31,Nebraska,001,Adams County,31001
ADAMS,WA,313,1,0.3194888178913738,ND,38,North Dakota,001,Adams County,38001
ADAMS,WA,313,1,0.3194888178913738,OH,39,Ohio,001,Adams County,39001
ADAMS,WA,313,1,0.3194888178913738,PA,42,Pennsylvania,001,Adams County,42001
ADAMS,WA,313,1,0.3194888178913738,WA,53,Washington,001,Adams County,53001
ADAMS,WA,313,1,0.3194888178913738,WI,55,Wisconsin,001,Adams County,55001
ADAMS,WI,267,NA,NA,CO,08,Colorado,001,Adams County,08001
ADAMS,WI,267,NA,NA,ID,16,Idaho,003,Adams County,16003
ADAMS,WI,267,NA,NA,IL,17,Illinois,001,Adams County,17001
ADAMS,WI,267,NA,NA,IN,18,Indiana,001,Adams County,18001
ADAMS,WI,267,NA,NA,IA,19,Iowa,003,Adams County,19003
ADAMS,WI,267,NA,NA,MS,28,Mississippi,001,Adams County,28001
ADAMS,WI,267,NA,NA,NE,31,Nebraska,001,Adams County,31001
ADAMS,WI,267,NA,NA,ND,38,North Dakota,001,Adams County,38001
ADAMS,WI,267,NA,NA,OH,39,Ohio,001,Adams County,39001
ADAMS,WI,267,NA,NA,PA,42,Pennsylvania,001,Adams County,42001
ADAMS,WI,267,NA,NA,WA,53,Washington,001,Adams County,53001
ADAMS,WI,267,NA,NA,WI,55,Wisconsin,001,Adams County,55001
ADDISON,VT,848,NA,NA,VT,50,Vermont,001,Addison County,50001
ADJUNTAS,PR,143,NA,NA,NA,NA,NA,NA,NA,NA
AGUADA,PR,516,NA,NA,NA,NA,NA,NA,NA,NA
AGUADILLA,PR,799,NA,NA,NA,NA,NA,NA,NA,NA
AGUAS BUENAS,PR,245,NA,NA,NA,NA,NA,NA,NA,NA
AIBONITO,PR,216,NA,NA,NA,NA,NA,NA,NA,NA
AIKEN,SC,2415,34,1.4078674948240166,SC,45,South Carolina,003,Aiken County,45003
AITKIN,MN,279,NA,NA,MN,27,Minnesota,001,Aitkin County,27001
ALACHUA,FL,5540,156,2.815884476534296,FL,12,Florida,001,Alachua County,12001
ALAMANCE,NC,2403,NA,NA,NC,37,North Carolina,001,Alamance County,37001
ALAMEDA,CA,39451,NA,NA,CA,06,California,001,Alameda County,06001
ALAMOSA,CO,397,NA,NA,CO,08,Colorado,003,Alamosa County,08003
ALBANY,NY,6413,64,0.9979728676126618,NY,36,New York,001,Albany County,36001
ALBANY,NY,6413,64,0.9979728676126618,WY,56,Wyoming,001,Albany County,56001
ALBANY,WY,724,3,0.4143646408839779,NY,36,New York,001,Albany County,36001
ALBANY,WY,724,3,0.4143646408839779,WY,56,Wyoming,001,Albany County,56001
ALBEMARLE,VA,1803,26,1.4420410427066,VA,51,Virginia,003,Albemarle County,51003
ALCONA,MI,134,2,1.4925373134328357,MI,26,Michigan,001,Alcona County,26001
ALCORN,MS,944,1,0.1059322033898305,MS,28,Mississippi,003,Alcorn County,28003
Aleutian Islands,AK,1,NA,NA,NA,NA,NA,NA,NA,NA
ALEUTIANS EAST,AK,72,1,1.3888888888888888,AK,02,Alaska,013,Aleutians East Borough,02013
ALEUTIANS WEST,AK,47,1,2.127659574468085,NA,NA,NA,NA,NA,NA
ALEXANDER,IL,101,NA,NA,IL,17,Illinois,003,Alexander County,17003
ALEXANDER,IL,101,NA,NA,NC,37,North Carolina,003,Alexander County,37003
ALEXANDER,NC,330,NA,NA,IL,17,Illinois,003,Alexander County,17003
ALEXANDER,NC,330,NA,NA,NC,37,North Carolina,003,Alexander County,37003
ALEXANDRIA CITY,VA,4860,155,3.189300411522634,VA,51,Virginia,510,Alexandria city,51510
ALFALFA,OK,401,NA,NA,OK,40,Oklahoma,003,Alfalfa County,40003
ALGER,MI,176,NA,NA,MI,26,Michigan,003,Alger County,26003
ALLAMAKEE,IA,973,4,0.41109969167523125,IA,19,Iowa,005,Allamakee County,19005
ALLEGAN,MI,1637,9,0.5497861942577886,MI,26,Michigan,005,Allegan County,26005
ALLEGANY,MD,880,11,1.25,MD,24,Maryland,001,Allegany County,24001
